title,artist,link
Mary Ann Park Sampler (1819),Mary Ann Park,___/record/102706?highlight=*:*
Life Drawing (Male Nude Reclining on Front) (1962),John Bellany,___/record/20763?highlight=*:*
Untitled (1983),Susan Coles,___/record/21892?highlight=*:*
Two Standing Male Nudes (1953),Eileen Duncan,___/record/20930?highlight=*:*
The Milliner's Shop (Circa 1946),Marjorie H. McLachlan,___/record/122744?highlight=*:*
Portrait of a Man in Profile (1951),Helmut F G Petzsch,___/record/21392?highlight=*:*
Nude Study Female,Robert J. Brough,___/record/122855?highlight=*:*
Unknown,Alexander Cree,___/record/50547?highlight=*:*
Untitled (Unknown),Unknown,___/record/21557?highlight=*:*
Saucer,Emma Gillies,___/record/53661?highlight=*:*
Slaughter House (1959),James C. Y. Gavin,___/record/122887?highlight=*:*
Riders from the North Frieze of the Parthenon (1836-1837),NA,___/record/20705?highlight=*:*
Via D' Italia (Unknown),John Brown,___/record/21673?highlight=*:*
Standing Female Nude (1953),Eileen Duncan,___/record/20929?highlight=*:*
The Sofa (1950),Zygmunt Bukowski,___/record/122805?highlight=*:*
Ship in Dry Dock,Graham High,___/record/22532?highlight=*:*
Untitled - Woman and Man (1981),Kirsty A Kirkwood,___/record/99439?highlight=*:*
Untitled - Woman with Bun (1963),Iona Murray,___/record/99401?highlight=*:*
Teacup,Emma Gillies,___/record/53654?highlight=*:*
Untitled (2007),Jo Ganter,___/record/99974?highlight=*:*
In the Garden (2019),Zuzana Ullmannová,___/record/113745?highlight=*:*
Agriculture,Unknown,___/record/20534?highlight=*:*
Landscape (Circa 1988),Arlene Isbister,___/record/22604?highlight=*:*
"Tomb of Ferry de Gros, Lord of Dyeghem Nieunland",Unknown,___/record/20567?highlight=*:*
Unknown (MAY 1948),John W. Corner,___/record/50516?highlight=*:*
Seated Male Nude with Staff (1958),Ian Hodkinson,___/record/20882?highlight=*:*
Plate (1924),Emma Gillies,___/record/53727?highlight=*:*
Untitled (1969),Gabrielle Stubbs,___/record/22488?highlight=*:*
Green and Cream Geometric (1974),Evelyn White,___/record/122810?highlight=*:*
Untitled (1963),Ruth Walker,___/record/22017?highlight=*:*
Unknown (1950),Thomas Clapperton,___/record/50562?highlight=*:*
Winter Seascape,Kathleen Russell,___/record/122892?highlight=*:*
Northern Highland Landscape (1934),William Wilson,___/record/21677?highlight=*:*
Untitled - City Highrise (Feb 1962),William Gillon,___/record/99482?highlight=*:*
Lid (1920s),Emma Gillies,___/record/122080?highlight=*:*
Georgian waistcoat (1700-1799),Unknown,___/record/102662?highlight=*:*
Light Around Limbo (2016),Joseph Glover,___/record/99263?highlight=*:*
Unknown (1962),Carol Handyside,___/record/50480?highlight=*:*
Untitled (2002),Sarah Sanford,___/record/99954?highlight=*:*
Wildflowers and Butterfly (Circa 1954),John P Busby,___/record/22627?highlight=*:*
Untitled (1969),Richard Easson,___/record/99830?highlight=*:*
Teacup,Emma Gillies,___/record/53653?highlight=*:*
Untitled (1989),Karen Guthrie,___/record/21886?highlight=*:*
Whitework baby's bonnet,Unknown,___/record/102708?highlight=*:*
Seated Male Nude with Glasses (Circa 1968),Gregory Lummell,___/record/21284?highlight=*:*
Rabid Dog,Roland Corbin,___/record/122962?highlight=*:*
"The Beach, Summer Composition (1958)",Robert M E Callender,___/record/22590?highlight=*:*
Banners of the Banned (MAY 2017),Elle McKee,___/record/100019?highlight=*:*
Untitled (1983),Robert Rivers,___/record/99801?highlight=*:*
Interior Scene (1968),Ian Patterson,___/record/21341?highlight=*:*
Portrait of a Girl (1937),Vanessa Bell,___/record/99798?highlight=*:*
The Sun Dissolves while Man Looks Away from the Unborn Child Mesmerized by the New Technologies,"Eduardo Luigi Paolozzi KBE, RA",___/record/21703?highlight=*:*
Seated Female Nude (1954),Leslie Drummond,___/record/21259?highlight=*:*
Cornfield (1963),Joan Eardley,___/record/21957?highlight=*:*
Teacup,Emma Gillies,___/record/53645?highlight=*:*
Untitled - Semi-Nude Woman Combing Her Hair (1961-1962),Ann F Ward,___/record/99353?highlight=*:*
Woman (1966),James H. Fairgrieve,___/record/22617?highlight=*:*
Untitled (1962),Carl O Ekevall,___/record/99497?highlight=*:*
Human Skeleton and Fruit (1958-1959),Peter Standen,___/record/20792?highlight=*:*
My Friend Jackie,Claudia Petretti,___/record/122738?highlight=*:*
"Venus de Milo, 130-10 BC",Unknown,___/record/20592?highlight=*:*
Untitled - Standing Nude Female (1963-1964),Irene G. Thomson,___/record/99419?highlight=*:*
Discophoros,Unknown,___/record/20589?highlight=*:*
Powderhall (1994),Jane Weatherly,___/record/123108?highlight=*:*
Untitled (2004),Shona Van Dam,___/record/21791?highlight=*:*
Table Runner,Anne Roscoe,___/record/123304?highlight=*:*
Unknown (1956),Alan M. Alexander,___/record/50597?highlight=*:*
Untitled (1983-1984),Lindsay Marshall,___/record/21565?highlight=*:*
Untitled (2006),Amelia Smith,___/record/99863?highlight=*:*
Untitled (1963),John Milligan,___/record/99355?highlight=*:*
Boats and Collies (1929),Ernest S. Lumsden,___/record/21751?highlight=*:*
Unknown (1950),Alexander Cree,___/record/50544?highlight=*:*
Fragment of ornament (arch springing),Unknown,___/record/20566?highlight=*:*
Seated Male Nude (1959),Violet Thomson,___/record/21146?highlight=*:*
Untitled (1990-1991),Anne Weddell,___/record/21977?highlight=*:*
Opuntia Basilaris Engelmann and Bigelow 1856 (1993-1994),Jane Watt,___/record/99458?highlight=*:*
Portrait of a Woman (1960),John Johnstone,___/record/21356?highlight=*:*
Riders from South Frieze of the Parthenon (1836-1837),NA,___/record/20731?highlight=*:*
Standing Female Nude (1955),Peter McGinn,___/record/122728?highlight=*:*
Standing Male Nude (1952),Adam Robson,___/record/20809?highlight=*:*
Untitled - Still Life of Kitchen Table in Red (1963),William O. Little,___/record/99270?highlight=*:*
Back of Kneeling Male Nude (1953),Maurice Chamberlain,___/record/50559?highlight=*:*
Portrait of a Young Man (1951),Pamela D Moore,___/record/21050?highlight=*:*
Untitled,Robin S. Taylor,___/record/122968?highlight=*:*
South Frieze of the Parthenon Frieze (1836-1837),NA,___/record/20698?highlight=*:*
Seated Female Nude (1956),J Salter,___/record/21183?highlight=*:*
Two Pipers in the Sunlight (1953),Leonard Rosoman,___/record/21752?highlight=*:*
Goat,Winsome Douglass,___/record/113829?highlight=*:*
From the Viking Age (1897),Pavlov Chailly,___/record/50469?highlight=*:*
Portrait of a Woman (1953),Peter Brady,___/record/21203?highlight=*:*
Unknown (1950),James T. Ferguson,___/record/53496?highlight=*:*
Unknown,Fiona Hewitt,___/record/53599?highlight=*:*
Untitled - Children Playing (1963),Monika L I Uecker,___/record/99445?highlight=*:*
Seated Female Nude (1958),Jean I. Beattie,___/record/20921?highlight=*:*
Portrait of a Woman (1951),Rosemary Bagshawe,___/record/21234?highlight=*:*
Unknown (1943-1944),William MacLaren,___/record/50490?highlight=*:*
Untitled (1969),John Stewart,___/record/99528?highlight=*:*
Untitled - Two Chefs in a Dark Room (1964-1965),Gordon Bryce,___/record/99280?highlight=*:*
Studio Corner (2003),Peter Scott,___/record/99937?highlight=*:*
Untitled (Unknown),Unknown,___/record/22000?highlight=*:*
Reclining Female Nude with Skeleton,Unknown,___/record/122803?highlight=*:*
Untitled - Abstract Blue and Red Shapes (1989),Joanne Leonie Milne,___/record/99387?highlight=*:*
Rugby Players' Changing Room (1952),Trevor Stubley,___/record/20796?highlight=*:*
Untitled (Unknown),Unknown,___/record/21627?highlight=*:*
Seated Skeleton (Circa 1955),Peter McGinn,___/record/21087?highlight=*:*
Portrait of James McComb (1950),Thomas Kim Redpath,___/record/122732?highlight=*:*
Unknown (1957),Morag Cuthbertson,___/record/50507?highlight=*:*
Seated Male Nude reading a Newspaper (1960),Jean Ritchie,___/record/20791?highlight=*:*
Skeleton (1969),Richard Hunter,___/record/21275?highlight=*:*
Girls from East Frieze of the Parthenon (1836-1837),NA,___/record/20681?highlight=*:*
Disaster Painting 2 (2024),Esther Forse,___/record/123746?highlight=*:*
Metope South 27 from the Parthenon (1837),NA,___/record/20643?highlight=*:*
Female Nude (1949),Marion M Cooper,___/record/122861?highlight=*:*
Untitled - Portrait of a Reading Woman (Apr 1963),William Gillon,___/record/99478?highlight=*:*
Portrait of a Woman (1947),James Cumming,___/record/21363?highlight=*:*
Untitled (Unknown),S J Dooley,___/record/99912?highlight=*:*
Plate,Emma Gillies,___/record/53718?highlight=*:*
Back of Bennachie,Hazel Holmes,___/record/21623?highlight=*:*
