title,artist,link
Still Life - Tomatoes (1960),Thora Clyne,___/record/22719?highlight=*:*
Untitled (Unknown),Unknown,___/record/21551?highlight=*:*
Abstract Still Life (Circa 1975),Lindsay Moran,___/record/20761?highlight=*:*
"Unknown, abstract (2004)",Amy Marshall,___/record/99486?highlight=*:*
Landscape (1951),James P W Syme,___/record/20836?highlight=*:*
Venus Marina,Unknown,___/record/20594?highlight=*:*
Untitled (Unknown),Victoria C F Bernie,___/record/21784?highlight=*:*
Tropical Bird Study (09 MAY 1962),Lesley M. Johns,___/record/99330?highlight=*:*
Standing Male Nude with Staff (1950),Cecile E M Johnston,___/record/21025?highlight=*:*
Forest (Circa 1988),Sheila MacGregor,___/record/21500?highlight=*:*
Unknown (1950),Muriel Davidson,___/record/53475?highlight=*:*
"3,500 Men (May 1986)",Andrew Arnott,___/record/99470?highlight=*:*
Portrait of a Man (1968),Donald C S Shaw,___/record/21403?highlight=*:*
Donkey and Cart in Landscape (Circa 1955),Mollie E N Langlands,___/record/21017?highlight=*:*
Untitled (1986),Sylvia Cameron,___/record/21716?highlight=*:*
Untitled (Unknown),Unknown,___/record/21916?highlight=*:*
Venice (1951),Sax Shaw,___/record/99849?highlight=*:*
Reclining Female Nude with Fans (1947),Sheena Page,___/record/122898?highlight=*:*
Reclining Female Nude (1957),Duncan Thomson,___/record/21104?highlight=*:*
Portrait of a Man (1959),Campbell,___/record/20971?highlight=*:*
Grooms and Riders from North Frieze of the Parthenon (1836-1837),NA,___/record/20712?highlight=*:*
Sky with Floating Kites (Circa 1968),Charles Ian Patterson,___/record/22588?highlight=*:*
Riders from South Frieze of the Parthenon (1836-1837),NA,___/record/20724?highlight=*:*
The Kennelmen's Lunch Hour (1951),Maureen Baird,___/record/122806?highlight=*:*
Face Value (2007),Annette Kierulf,___/record/99902?highlight=*:*
Portrait Male (1975),Andrew J. Neil,___/record/22726?highlight=*:*
Plate (1920s),Emma Gillies,___/record/53710?highlight=*:*
Untitled,NA,___/record/112505?highlight=*:*
Unknown (1984-1985),Olivia Irvine,___/record/53563?highlight=*:*
Unknown,Duncan Currie,___/record/50389?highlight=*:*
Unknown (1950),Marion M Cooper,___/record/50392?highlight=*:*
Four way / Exchange Portfolio (Unknown),Unknown,___/record/99854?highlight=*:*
Reclining Male Nude (1949),Zygmunt Bukowski,___/record/21324?highlight=*:*
Vilnius Academy of Fine Arts,Unknown,___/record/99853?highlight=*:*
Espresso Cup (1920s),Emma Gillies,___/record/53701?highlight=*:*
Untitled - Street Scene (1960),Frederick C White,___/record/99453?highlight=*:*
Unknown (1950),Francis Curran,___/record/50505?highlight=*:*
Lid (1920s),Emma Gillies,___/record/122073?highlight=*:*
Night Painting (1973),Nicola M. Wheal,___/record/122811?highlight=*:*
Profile of Seated Male Nude (1959),Denness Morton,___/record/20888?highlight=*:*
Unknown (1952),George Roderick Carmichael,___/record/50568?highlight=*:*
Standing Female Nude in Bathroom (1953),Ian West,___/record/20989?highlight=*:*
Red/Orange Connections,Joanna Wilson,___/record/21003?highlight=*:*
Woman on a Balcony (1959),Elizabeth M. Hansen,___/record/122682?highlight=*:*
Reclining Male Nude (1958),Rosemary Wright,___/record/20860?highlight=*:*
Plate (1920s),Emma Gillies,___/record/53715?highlight=*:*
Standing Man with Scythe,John Houston,___/record/20770?highlight=*:*
Unknown (Unknown),Unknown,___/record/21857?highlight=*:*
Aurora (2013),Marissa Stoffer,___/record/47442?highlight=*:*
Theatrical Performance,Robert Maclaurin,___/record/21513?highlight=*:*
Composition with Figures and Flags (Diptych) (1965),William Gillon,___/record/21314?highlight=*:*
Portrait of a Seated Woman (1958),Ann Forbes,___/record/21112?highlight=*:*
Bowl (1920s),Emma Gillies,___/record/122078?highlight=*:*
Espresso Saucer (1920s),Emma Gillies,___/record/53679?highlight=*:*
Untitled (2003),Robin Kukiel,___/record/99932?highlight=*:*
Untitled - Drawing of a Man Wearing a Hat (1967),Isobel T Johnstone,___/record/99253?highlight=*:*
Woodland #4 (2007),Asbjorn Hollerud,___/record/99898?highlight=*:*
Untitled (Unknown),Margaret Clyde,___/record/21628?highlight=*:*
Seated Female Nude wearing Floral Hat (1962),June M. Morgan,___/record/99354?highlight=*:*
Unknown (1963),Roger Cameron,___/record/50436?highlight=*:*
Inscription Panel from Trajan's Column (right side),Unknown,___/record/20537?highlight=*:*
Portrait of a Seated Man (MAY 1960),John Gilbert,___/record/20997?highlight=*:*
Still Breathing,Stuart T. MacKenzie,___/record/22660?highlight=*:*
Untitled (1967),Christine Watson,___/record/21772?highlight=*:*
Unknown (1978),William J. Rennie,___/record/50427?highlight=*:*
Park Band Stand Scene (1952),Ian Lawson,___/record/122687?highlight=*:*
Untitled (1964),Carol Handyside,___/record/99840?highlight=*:*
Unknown (1960),Hugh Deans,___/record/53575?highlight=*:*
Untitled (1967),Kevin Maguire,___/record/22027?highlight=*:*
Figure Composition (Circa 1968),Alan T. Johnston,___/record/122691?highlight=*:*
Standing Male Nude (1960s),Alan Dempster,___/record/21277?highlight=*:*
Spanish Village (1957),David McClure,___/record/122252?highlight=*:*
Untitled - Nude Male (1968-1969),Charles Ian Patterson,___/record/99409?highlight=*:*
Landscape (01 MAY 1985),Allison E Sharpe,___/record/21466?highlight=*:*
Unknown,Robert Euman,___/record/53545?highlight=*:*
Cast Study of Clement Pappi's 'Dying Adonis' (15 MAY 1950),David Michie,___/record/21036?highlight=*:*
Untitled (2003),Scott Laverie,___/record/93377?highlight=*:*
Craigleith Island July '92 (1992),Delia M Surplice,___/record/99415?highlight=*:*
Untitled (Unknown),Unknown,___/record/99960?highlight=*:*
Large Head (1984),Gwen W. Hardie,___/record/22622?highlight=*:*
The Repairable Flatpack Toaster (2017),Kasey Hou,___/record/100020?highlight=*:*
Legless Graham (Unknown),Jennifer Blake,___/record/21997?highlight=*:*
Patchwork quilt (1700-1899),Unknown,___/record/102731?highlight=*:*
Seated Female Nude (1958),David Rifat,___/record/20873?highlight=*:*
Untitled (1954),Ian Hodkinson,___/record/111041?highlight=*:*
Colourful Landscape with Monoliths (1959),Jacqueline A N Stieger,___/record/20824?highlight=*:*
Riders: Parthenon Frieze (1836-1837),NA,___/record/20706?highlight=*:*
Vase,Emma Gillies,___/record/53738?highlight=*:*
Saucer,Emma Gillies,___/record/53624?highlight=*:*
Unknown (1952),Rosemary Bagshaw,___/record/53515?highlight=*:*
Untitled (Unknown),David Giblin,___/record/21635?highlight=*:*
Tskihrva (Unknown),Boris Bućan,___/record/22043?highlight=*:*
Unknown (1949),Douglas Baxter,___/record/50577?highlight=*:*
Singer (JAN 1987),Paul Rooney,___/record/21841?highlight=*:*
Female Nude (1924),Henry Moore,___/record/53472?highlight=*:*
Hairy Veg (2016),Eden Hawkins,___/record/99266?highlight=*:*
Untitled (Unknown),Unknown,___/record/21853?highlight=*:*
Untitled (Unknown),Valerie Anderson,___/record/21890?highlight=*:*
Seated Man Seen from Behind (Circa 1955),Peter McGinn,___/record/21089?highlight=*:*
The Idea (1991),Karen Guthrie,___/record/21907?highlight=*:*
Two Seated Women and One Standing Woman (1949),Douglas Gordon,___/record/21099?highlight=*:*
Extrude (2013),Charlotte Roseberry,___/record/21302?highlight=*:*
Man in His Garden (DEC 1977),Muriel A. M. Kirkwood,___/record/21672?highlight=*:*
Untitled (1963),Iona Murray,___/record/99402?highlight=*:*
Portrait of a Boy (1955),Peter McGinn,___/record/21219?highlight=*:*
Teapot,Emma Gillies,___/record/122550?highlight=*:*
Untitled (1968),Michael Jannarelli,___/record/22505?highlight=*:*
Corner of the Garden Palazzo Barderini Rome (FEB 1948),Marjorie Wallace,___/record/20852?highlight=*:*
Untitled (Unknown),Unknown,___/record/21988?highlight=*:*
Portrait of Girl in Jumper (1964),William Gillon,___/record/99324?highlight=*:*
Untitled (1984),Unknown,___/record/21602?highlight=*:*
Standing Male Nude (1952),Unknown,___/record/21222?highlight=*:*
Snowed Under (1998),John Brown,___/record/21863?highlight=*:*
Unknown (1951),Harold F Burnett,___/record/50572?highlight=*:*
Untitled (Unknown),S J Dooley,___/record/99911?highlight=*:*
Untitled (2007),Vikki Hill,___/record/99966?highlight=*:*
Interior Scene,Sigrid Gordon,___/record/21462?highlight=*:*
Trafalgar Square (1963),Unknown,___/record/21773?highlight=*:*
Espresso Saucer (1920s),Emma Gillies,___/record/53681?highlight=*:*
Figures and Sunshine (1962),Leon Francesco Morrocco,___/record/21400?highlight=*:*
Unknown (1954),John P Busby,___/record/50570?highlight=*:*
Untitled (1980),Unknown,___/record/99824?highlight=*:*
Unknown (MAY 1949),John W. Corner,___/record/50520?highlight=*:*
Portrait of a Bearded Man (1960),Marjory Dickson,___/record/20993?highlight=*:*
Woman with Neck Scarf (1981),Alistair M. Banks,___/record/122875?highlight=*:*
Morgue (1997),Susan Calder,___/record/22684?highlight=*:*
North Berwick from Belhaven Bay (Unknown),Catherine Orbach,___/record/21792?highlight=*:*
Lucius Junius Brutus,Unknown,___/record/20561?highlight=*:*
Untitled (2007),Rob Hunter,___/record/99893?highlight=*:*
Landscape with Bridge and Loch (Circa 1987),Renny J. Tait,___/record/22519?highlight=*:*
Untitled (Unknown),Donald Clark,___/record/21636?highlight=*:*
Seated Nude Woman (1951),James P W Syme,___/record/22513?highlight=*:*
Still Life with Kettle,Ronald G Browne,___/record/122935?highlight=*:*
Seated Man on White Chair (1989),Claire E. Banks,___/record/22555?highlight=*:*
Untitled,Anne Waterhouse,___/record/112342?highlight=*:*
Portrait - Girl (1946),Dorothy M. Peach,___/record/22707?highlight=*:*
Reclining Male Nude (1954),David Ewans,___/record/21252?highlight=*:*
Unknown (1950),B. J. Chambers Crabtree,___/record/50513?highlight=*:*
Unknown (1958),Katherine Cowan,___/record/50514?highlight=*:*
Entry into Jerusalem (1956),Peter McGinn,___/record/122719?highlight=*:*
Unknown (1947-1948),Marjorie Wallace,___/record/50443?highlight=*:*
Toledo (1950),Alastair Flattely,___/record/21374?highlight=*:*
Seated Male Nude (1956),James Robertson,___/record/21245?highlight=*:*
Untitled (2006),Siri Gossman,___/record/99883?highlight=*:*
Portrait of a Man (1952),J Shillabeer,___/record/21201?highlight=*:*
Shell-Shapes (1989),Dorothy Black,___/record/21973?highlight=*:*
Unknown (Circa 1890),Unknown,___/record/50460?highlight=*:*
Unknown (1949),Betty Elston,___/record/50581?highlight=*:*
Untitled (1963),Alison Keith,___/record/22007?highlight=*:*
Late-night (Circa 1959),John Boyle,___/record/21335?highlight=*:*
Seated Male Nude (1958),Peter Standen,___/record/20862?highlight=*:*
Man with Spring Plants (1953),Leonard Baskin,___/record/21687?highlight=*:*
Grey Cover,Unknown,___/record/22633?highlight=*:*
Seated Female Nude with Striped Floor Drape,Unknown,___/record/22642?highlight=*:*
Untited (1986),Paul Furneaux,___/record/21611?highlight=*:*
Untitled (1946),Dorothy M. Peach,___/record/21738?highlight=*:*
Portrait of a Woman Wearing a Hat (1951),Alexandra Bennett,___/record/21232?highlight=*:*
Standing Male Nude,John Houston,___/record/21047?highlight=*:*
Untitled (Unknown),Sabine R,___/record/21640?highlight=*:*
Unknown (1947),Thomas M. B. Watt,___/record/50575?highlight=*:*
Cotton Wool Brain (2019),Zuzana Ullmannová,___/record/113744?highlight=*:*
Portrait of a Man (1959),Alan Kemp,___/record/20902?highlight=*:*
Unknown,Joseph Sharples,___/record/50379?highlight=*:*
Harbour (1953-1954),Alistair M Park,___/record/21348?highlight=*:*
Untitled (Unknown),Unknown,___/record/21838?highlight=*:*
Sleeping Female Nude (1950),Alexander F Mitchell,___/record/21057?highlight=*:*
Unknown,Unknown,___/record/53540?highlight=*:*
Posts in the Landscape (01 MAY 1985),Allison E Sharpe,___/record/21469?highlight=*:*
Standing Male Nude with Stick (1958),Lesley Crawford,___/record/21110?highlight=*:*
View of Edinburgh (Balmoral Hotel),R Urgolini (?),___/record/21499?highlight=*:*
Portrait of a Seated Man in Uniform (1955),James Robertson,___/record/20805?highlight=*:*
Saucer,Emma Gillies,___/record/53630?highlight=*:*
Plate (1920s),Emma Gillies,___/record/53670?highlight=*:*
Untitled (1961),Norma Kirk,___/record/22011?highlight=*:*
Sugar Bowl with Spoon,Janet Gillies,___/record/122545?highlight=*:*
Girl and Baby (1962),Joan Eardley,___/record/99213?highlight=*:*
Unknown (1994),Esther Tacke,___/record/21914?highlight=*:*
Unknown,Unknown,___/record/53553?highlight=*:*
Treasure on a Loch,John Brown,___/record/22603?highlight=*:*
Unknown (1950),Unknown,___/record/53507?highlight=*:*
Standing Male Nude with Cane (1958),Lesley Crawford,___/record/21109?highlight=*:*
Back of Standing Female Nude in Clay Modelling Class (1973),Robin S. Taylor,___/record/123115?highlight=*:*
"Small Classical Head, possibly Apollo",NA,___/record/20605?highlight=*:*
Stately Dance (1947),Allan W. Robson,___/record/21741?highlight=*:*
Riders from the North Frieze of the Parthenon (1836-1837),NA,___/record/20704?highlight=*:*
Portrait of a Man,Anthony Sinclair,___/record/21471?highlight=*:*
Portrait of a Man (11 NOV 1957),R Wright,___/record/20904?highlight=*:*
Esme (1949),Betty Elston,___/record/22694?highlight=*:*
Unknown (1957),Peter G. Collins,___/record/50399?highlight=*:*
Works of a Strange Device: Drawing Smoke (2016),Suzanne Priestley,___/record/99239?highlight=*:*
Mrs Nico (1963),Chloe E Brayn,___/record/122876?highlight=*:*
Riders from the West Frieze of the Parthenon (1836-1837),NA,___/record/20676?highlight=*:*
Limits (2014),Phoebe Mitchell,___/record/54759?highlight=*:*
"Metope 29, south entablature, Parthenon (1837)",NA,___/record/20648?highlight=*:*
Side Plate,Emma Gillies,___/record/53610?highlight=*:*
Unknown,George Roderick Carmichael,___/record/50566?highlight=*:*
Ayrshire Christening robe,Unknown,___/record/100006?highlight=*:*
Portrait of a Man (1953),Ian J. D. Short,___/record/22695?highlight=*:*
"In ""Head"" 73 (1973)",Gavin Robson,___/record/99404?highlight=*:*
Untitled - Life Drawing of Woman Reclining on a Bed (1967),Isobel T Johnstone,___/record/99249?highlight=*:*
Portrait of a Woman in a Headdress,Adam Bruce Thomson,___/record/20828?highlight=*:*
Dying Gaul (1822),Unknown,___/record/20597?highlight=*:*
Blue and Black Grid,Joan E. Smith,___/record/22550?highlight=*:*
Untitled,Kirkland Main,___/record/99987?highlight=*:*
Abstracted Guitar Player (1960),Denness Morton,___/record/21082?highlight=*:*
Untitled,John Nichol,___/record/112448?highlight=*:*
Standing Female Nude (1957),D G Seymour,___/record/20963?highlight=*:*
Unknown,Unknown,___/record/53602?highlight=*:*
Still Life with Peonies,Anne Redpath,___/record/20746?highlight=*:*
Still Life with Two Birds (1975),Kenneth W. Bushe,___/record/22635?highlight=*:*
Untitled - Woodland Fantasy in Green (1963),Jean M. Marshall,___/record/99362?highlight=*:*
Allegro Moderato Firemans' Parade (1977),"Eduardo Luigi Paolozzi KBE, RA",___/record/21697?highlight=*:*
Old Man Sitting,Agnes Sim,___/record/122779?highlight=*:*
Reclining Seated Male Nude (1958),Peter Standen,___/record/20866?highlight=*:*
View of Garden with Washing Lines (1987),Margaret L. Smyth,___/record/22559?highlight=*:*
Brass moths and bees (2018),Jessica Gasson,___/record/102752?highlight=*:*
Figure in Rocky Landscape at Sunset (1964),James Goodall,___/record/122842?highlight=*:*
Reflections on métro at 7.15 am (1963),Ann F Ward,___/record/99339?highlight=*:*
Saucer,Emma Gillies,___/record/53657?highlight=*:*
Still Life with Apples (Circa 1966),Jean E. Selby,___/record/122764?highlight=*:*
Untitled - Figure Drawing of A Woman with Pig Tails (1965),Gordon Bryce,___/record/99281?highlight=*:*
Teacup,Emma Gillies,___/record/53652?highlight=*:*
Portrait of a Woman (1955),Edith Duke,___/record/21218?highlight=*:*
"A PHP Error was encountered Severity: Warning Message: Undefined array key ""dctitleen"" Filename: views/search_results.php Line Number: 98 A PHP Error was encountered Severity: Warning Message: Trying to access array offset on null Filename: views/search_results.php Line Number: 98 (2003)",Unknown,___/record/99930?highlight=*:*
Untitled (1999),Kate Baker,___/record/21882?highlight=*:*
Untitled (1968),Alistair Bell,___/record/99378?highlight=*:*
Standing Male Nude (1950),Cecile E M Johnston,___/record/21026?highlight=*:*
Untitled (Unknown),Annabel Keatley,___/record/21609?highlight=*:*
Unknown (1965),McLeod,___/record/53594?highlight=*:*
Unknown,Linda Hennker,___/record/50375?highlight=*:*
Untitled,David C Duke,___/record/22574?highlight=*:*
"Unknown, Abstract",Paresh Chandra Chakraborty,___/record/99485?highlight=*:*
Unknown (1957),Peter Coyle,___/record/50512?highlight=*:*
Two Men in a Country Landscape (1952),James P W Syme,___/record/22717?highlight=*:*
For They Shall See God (2006),Jennifer M. Hughes,___/record/99881?highlight=*:*
Vase (1920s),Emma Gillies,___/record/122136?highlight=*:*
Sketch for Final Composition,Colin Brown,___/record/53566?highlight=*:*
Untitled (1947),Sheila Turnbull,___/record/111032?highlight=*:*
Relic of Origins: Red Deer (2013),Kyle Noble,___/record/21305?highlight=*:*
November Afternoon (1982),Gwyneth M. Leech,___/record/99433?highlight=*:*
Portrait of a Woman (1952),W Baxter,___/record/21205?highlight=*:*
Portrait of a Man (1950),Katherine B K Burns,___/record/21390?highlight=*:*
Champagne (1993),Robert I Montgomery,___/record/99416?highlight=*:*
Standing Male Nude (1960),Thomas T Robertson,___/record/20806?highlight=*:*
Figurative Composition in Brown and Blue (1993),Kenneth T. W. Neil,___/record/20756?highlight=*:*
